date,time,location,operator,aboard,fatalities,f rate
17-Sep-08,1718,"Fort Myer, Virginia",Military - U.S. Army,2,1,0.5
7-Sep-09,?,"Juvisy-sur-Orge, France",?,1,1,1
12-Jul-12,630,"Atlantic City, New Jersey",Military - U.S. Navy,5,5,1
6-Aug-13,?,"Victoria, British Columbia, Canada",Private,1,1,1
9-Sep-13,1830,Over the North Sea,Military - German Navy,20,14,0.7
17-Oct-13,1030,"Near Johannisthal, Germany",Military - German Navy,28,28,1
5-Mar-15,100,"Tienen, Belgium",Military - German Navy,41,17,0.414634146
3-Sep-15,1520,"Off Cuxhaven, Germany",Military - German Navy,19,19,1
28-Jul-16,?,"Near Jambol, Bulgeria",Military - German Army,20,20,1
24-Sep-16,100,"Billericay, England",Military - German Navy,22,22,1
1-Oct-16,2345,"Potters Bar, England",Military - German Navy,19,19,1
21-Nov-16,?,"Mainz, Germany",Military - German Army,28,27,0.964285714
28-Nov-16,2345,"Off West Hartlepool, England",Military - German Navy,20,20,1
4-Mar-17,?,"Near Gent, Belgium",Military - German Army,20,20,1
30-Mar-17,?,Off Northern Germany,Military - German Navy,23,23,1
14-May-17,515,"Near Texel Island, North Sea",Military - German Navy,21,21,1
14-Jun-17,845,"Off Vlieland Island, North Sea",Military - German Navy,24,24,1
17-Jun-17,?,"Near Yarmouth, England",?,16,14,0.875
21-Aug-17,700,Off western Denmark,Military - German Navy,18,18,1
20-Oct-17,745,"Near Luneville, France",Military - German Navy,18,18,1
7-Apr-18,2130,Over the Mediterranean,Military - German Navy,23,23,1
5-Aug-18,?,"Off Helgoland Island, Germany",Military - German Navy,22,22,1
11-Aug-18,1000,"Ameland Island, North Sea",Military - German Navy,19,19,1
16-Dec-18,?,"Elizabeth, New Jersey",US Aerial Mail Service,1,1,1
25-May-19,?,"Cleveland, Ohio",US Aerial Mail Service,1,1,1
19-Jul-19,?,"Dix Run, Pennsylvania",US Aerial Mail Service,1,1,1
21-Jul-19,1655,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,?,3,#VALUE!
2-Aug-19,?,"Verona, Italy",Caproni Company,14,14,1
2-Oct-19,?,"Newcastle, England",Aircraft Transport and Travel,1,1,1
14-Oct-19,?,"Cantonsville, Maryland",US Aerial Mail Service,1,1,1
20-Oct-19,?,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,0,0,#DIV/0!
30-Oct-19,?,"Long Valley, New Jersey",US Aerial Mail Service,1,1,1
11-Dec-19,?,"Catherham, Surrey, UK",Aircraft Travel Transport,1,1,1
10-Mar-20,?,"New Paris, Indiana",US Aerial Mail Service,1,1,1
30-Mar-20,?,"Newark, New Jersey",US Aerial Mail Service,1,1,1
10-Apr-20,?,"Newark, New Jersey",US Aerial Mail Service,2,1,0.5
11-Apr-20,?,"Heller Field, New Jersey",US Aerial Mail Service,2,1,0.5
12-May-20,?,"Oskaloosa, Iowa",US Aerial Mail Service,2,1,0.5
6-Jun-20,?,"Cleveland, Ohio",US Aerial Mail Service,1,1,1
20-Jul-20,?,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,1,1,1
16-Aug-20,?,"Bedford, England",By Air,1,1,1
16-Aug-20,?,"College Park, Maryland",US Aerial Mail Service,1,1,1
1-Sep-20,?,"Morristown, New Jersey",US Aerial Mail Service,2,2,1
15-Sep-20,?,"Pemberville, Ohio",US Aerial Mail Service,2,2,1
27-Sep-20,?,"Hillersburg, Pennsylvania",US Aerial Mail Service,1,1,1
2-Oct-20,?,"Off Port Vendres, France",Latecoere Airlines,2,2,1
5-Oct-20,?,"Valencia, Spain",Latecoere Airlines,2,2,1
15-Oct-20,?,"Batavia, Illinois",US Aerial Mail Service,1,1,1
7-Nov-20,?,"Tie Siding, Wyoming",US Aerial Mail Service,1,1,1
14-Dec-20,1215,"London, England",Handley Page Transport,8,4,0.5
24-Dec-20,?,"Barcelona, Spain",Aeropostale,1,1,1
3-Feb-21,?,"Mendotta, Minnisota",US Aerial Mail Service,1,1,1
9-Feb-21,?,"La Crosse, Wisconsin",US Aerial Mail Service,3,3,1
15-Feb-21,?,Off Gibraltar,Aeropostale,2,2,1
22-Feb-21,?,"Elko, Nevada",US Aerial Mail Service,1,1,1
6-Apr-21,?,"Point Cook, Australia",Military - Royal Australian Air Force,2,2,1
21-Apr-21,?,"Mitchel Field, NY",US Aerial Mail Service,1,1,1
29-Apr-21,?,"Cleveland, Ohio",US Aerial Mail Service,1,1,1
17-May-21,?,"Rock Springs, Wyoming",US Aerial Mail Service,1,1,1
14-Aug-21,?,"Toulouse, France",Aeropostale,2,2,1
24-Aug-21,1740,"River Humber, England",Military - Royal Airship Works,49,43,0.87755102
6-Sep-21,?,"Paris, France",Franco-Roumaine,5,5,1
5-Dec-21,?,"Near Murchinson River, Australia",West Australian Airways,2,2,1
14-Jan-22,?,"Paris, France",Handley Page Transport,5,5,1
21-Feb-22,?,"Near Norfolk, Virginia",Military - U.S. Army Air Service,45,34,0.755555556
22-Mar-22,1140,North Atlantic Ocean,Aero Limited,6,5,0.833333333
7-Apr-22,1315,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,7,7,1
8-Apr-22,?,"Pao Ting Fou, China",?,17,17,1
3-Jun-22,?,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,3,3,1
4-Jul-22,?,"Fuhlsbuttel, Germany",?,3,2,0.666666667
16-Jul-22,1645,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,5,5,1
26-Jul-22,?,"Cadix, Spain",Grands Express Aeriens,3,3,1
7-Sep-22,?,"Indianapolis, Indiana",US Aerial Mail Service,1,1,1
2-Oct-22,?,"Venice, Italy",de Havilland Air Service,4,4,1
25-Oct-22,?,"Larache, Morocco",Grands Express Aeriens,2,2,1
3-Dec-22,?,"Fez, Morocco",Grands Express Aeriens,1,1,1
10-Jan-23,?,"Ajaccio, France",Amee de l'Air,4,3,0.75
17-Jan-23,?,"Barcelona, Spain",Grands Express Aeriens,1,1,1
18-Jan-23,?,"Cheyenne, Wyoming",US Aerial Mail Service,1,1,1
26-Feb-23,?,"Meadville, Pennsylvania",US Aerial Mail Service,1,1,1
14-May-23,1342,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),6,6,1
27-Aug-23,1730,"East Mallling, United Kingdom",Air Union,11,1,0.090909091
27-Aug-23,?,"Bucharest, Romania",Campagnie France Roumaine,2,2,1
7-Sep-23,?,"Colton, Ohio",US Aerial Mail Service,1,1,1
14-Sep-23,c 18:00,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,5,5,1
18-Nov-23,?,Russia,CCCP,5,3,0.6
6-Dec-23,?,"Castalia, Ohio",US Aerial Mail Service,1,1,1
23-Dec-23,c 02:30,Over the Mediterranean Sea,Military - French Navy,52,52,1
24-Dec-23,?,"Egbert, WY",US Aerial Mail Service,1,1,1
7-Mar-24,?,"Grampian, Pennsylvania",US Aerial Mail Service,1,1,1
24-Apr-24,?,Over the English Channel,KLM Royal Dutch Airlines,3,3,1
8-Jun-24,?,"Barranquilla, Colombia",SCADTA,5,5,1
1-Aug-24,?,United States,US Aerial Mail Service,1,1,1
6-Nov-24,?,"Cabrerolles, France",Grands Express Aeriens,1,1,1
21-Dec-24,?,"Goshen, Indiana",US Aerial Mail Service,1,1,1
24-Dec-24,c 12:00,"Purley, England",Imperial Airways,8,8,1
22-Mar-25,?,"Near Tiflis, Georgia, USSR",Zakavia,5,5,1
25-Apr-25,?,"Alicante, Spain",Grands Express Aeriens,3,3,1
25-Jun-25,?,"Landrécies, France",KLM Royal Dutch Airlines,4,4,1
26-Jun-25,?,"Alicante, Spain",Grands Express Aeriens,2,2,1
20-Jul-25,?,"Rosas, Spain",Lignes Aeriennes Latecoere,1,1,1
24-Jul-25,?,"Budapest, Hungary",CIDNA,1,1,1
3-Sep-25,530,"Caldwell, Ohio",Military - U.S. Navy,43,14,0.325581395
7-Sep-25,?,"Toul, France",CIDNA,?,?,#VALUE!
1-Oct-25,?,"Mt. Nittany, Ohio",US Aerial Mail Service,1,1,1
14-Nov-25,?,"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,1,1,1
14-Nov-25,?,"Off Boulogne-sur-Mer, France",Air Union,2,2,1
12-Feb-26,?,"Montpelier, Ohio",US Aerial Mail Service,1,1,1
8-Mar-26,?,"Staaken, Germany",Deutche Lufthansa,1,1,1
31-May-26,?,English Channel,Air Union,1,1,1
3-Jul-26,?,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,6,6,1
9-Jul-26,930,"Wolvertem, Belgium",KLM Royal Dutch Airlines,2,2,1
24-Jul-26,?,"Juist, Germany",Deutsche Lufthansa,5,5,1
18-Aug-26,?,"Hurst, Kent, England",Air Union,15,3,0.2
26-Sep-26,?,"New York, New York",?,5,2,0.4
2-Oct-26,1527,"Leigh, Kent, Unied Kingdom",Air Union,7,7,1
8-Oct-26,?,"Bueren, Germany",Deutsche Lufthansa,4,4,1
21-Oct-26,c 13:15,English Channel,Imperial Airways,12,0,0
11-Nov-26,800,"Cape Bojador, Morocco",Grands Express Aeriens,3,3,1
16-Dec-26,?,"Medford, Oregon",Pacific Air Transport,1,1,1
12-Jan-27,?,"Estaires, France",Fokker,0,0,#DIV/0!
20-Mar-27,?,"Rabat, Morocco",Grands Express Aeriens,1,1,1
24-Mar-27,?,"Tambo, Qld, Australia",Qantas,3,3,1
15-Apr-27,?,"King Hill, Idaho",Varney Air Lines,1,1,1
22-Apr-27,?,"Floh, Germany",Deutsche Lufthansa,2,2,1
22-Apr-27,?,"Goshen, Indiana",US Aerial Mail Service,1,1,1
2-May-27,?,"Algiers, Algeria",Air Union,3,1,0.333333333
27-Jul-27,?,"Amoneburg, Germany",Deutsche Lufthansa,5,5,1
