date,aboard,fatalities,fatality_rate
17-Sep-08,2,1,0.50
7-Sep-09,1,1,1.00
12-Jul-12,5,5,1.00
6-Aug-13,1,1,1.00
9-Sep-13,20,14,0.70
17-Oct-13,28,28,1.00
5-Mar-15,41,17,0.41
3-Sep-15,19,19,1.00
28-Jul-16,20,20,1.00
24-Sep-16,22,22,1.00
1-Oct-16,19,19,1.00
21-Nov-16,28,27,0.96
28-Nov-16,20,20,1.00
4-Mar-17,20,20,1.00
30-Mar-17,23,23,1.00
14-May-17,21,21,1.00
14-Jun-17,24,24,1.00
17-Jun-17,16,14,0.88
21-Aug-17,18,18,1.00
20-Oct-17,18,18,1.00
7-Apr-18,23,23,1.00
5-Aug-18,22,22,1.00
11-Aug-18,19,19,1.00
16-Dec-18,1,1,1.00
25-May-19,1,1,1.00
19-Jul-19,1,1,1.00
2-Aug-19,14,14,1.00
2-Oct-19,1,1,1.00
14-Oct-19,1,1,1.00
30-Oct-19,1,1,1.00
11-Dec-19,1,1,1.00
10-Mar-20,1,1,1.00
30-Mar-20,1,1,1.00
10-Apr-20,2,1,0.50
11-Apr-20,2,1,0.50
12-May-20,2,1,0.50
6-Jun-20,1,1,1.00
20-Jul-20,1,1,1.00
16-Aug-20,1,1,1.00
16-Aug-20,1,1,1.00
1-Sep-20,2,2,1.00
15-Sep-20,2,2,1.00
27-Sep-20,1,1,1.00
2-Oct-20,2,2,1.00
5-Oct-20,2,2,1.00
15-Oct-20,1,1,1.00
7-Nov-20,1,1,1.00
14-Dec-20,8,4,0.50
24-Dec-20,1,1,1.00
3-Feb-21,1,1,1.00
9-Feb-21,3,3,1.00
15-Feb-21,2,2,1.00
22-Feb-21,1,1,1.00
6-Apr-21,2,2,1.00
21-Apr-21,1,1,1.00
29-Apr-21,1,1,1.00
17-May-21,1,1,1.00
14-Aug-21,2,2,1.00
24-Aug-21,49,43,0.88
6-Sep-21,5,5,1.00
5-Dec-21,2,2,1.00
14-Jan-22,5,5,1.00
21-Feb-22,45,34,0.76
22-Mar-22,6,5,0.83
7-Apr-22,7,7,1.00
8-Apr-22,17,17,1.00
3-Jun-22,3,3,1.00
4-Jul-22,3,2,0.67
16-Jul-22,5,5,1.00
26-Jul-22,3,3,1.00
7-Sep-22,1,1,1.00
2-Oct-22,4,4,1.00
25-Oct-22,2,2,1.00
