date,aboard,fatalities
1908-09-17,2,1
1909-09-07,1,1
1912-07-12,5,5
1913-08-06,1,1
1913-09-09,20,14
1913-10-17,28,28
1915-03-05,41,17
1915-09-03,19,19
1916-07-28,20,20
1916-09-24,22,22
1916-10-01,19,19
1916-11-21,28,27
1916-11-28,20,20
1917-03-04,20,20
1917-03-30,23,23
1917-05-14,21,21
1917-06-14,24,24
1917-06-17,16,14
1917-08-21,18,18
1917-10-20,18,18
1918-04-07,23,23
1918-08-05,22,22
1918-08-11,19,19
1918-12-16,1,1
1919-05-25,1,1
1919-07-19,1,1
1919-08-02,14,14
1919-10-02,1,1
1919-10-14,1,1
1919-10-30,1,1
1919-12-11,1,1
1920-03-10,1,1
1920-03-30,1,1
1920-04-10,2,1
1920-04-11,2,1
1920-05-12,2,1
1920-06-06,1,1
1920-07-20,1,1
1920-08-16,1,1
1920-08-16,1,1
1920-09-01,2,2
1920-09-15,2,2
1920-09-27,1,1
1920-10-02,2,2
1920-10-05,2,2
1920-10-15,1,1
1920-11-07,1,1
1920-12-14,8,4
1920-12-24,1,1
1921-02-03,1,1
1921-02-09,3,3
1921-02-15,2,2
1921-02-22,1,1
1921-04-06,2,2
1921-04-21,1,1
1921-04-29,1,1
1921-05-17,1,1
1921-08-14,2,2
1921-08-24,49,43
1921-09-06,5,5
1921-12-05,2,2
1922-01-14,5,5
1922-02-21,45,34
1922-03-22,6,5
1922-04-07,7,7
1922-04-08,17,17
1922-06-03,3,3
1922-07-04,3,2
1922-07-16,5,5
1922-07-26,3,3
1922-09-07,1,1
1922-10-02,4,4
1922-10-25,2,2
1922-12-03,1,1
1923-01-10,4,3
1923-01-17,1,1
1923-01-18,1,1
1923-02-26,1,1
1923-05-14,6,6
1923-08-27,11,1
1923-08-27,2,2
1923-09-07,1,1
1923-09-14,5,5
1923-11-18,5,3
1923-12-06,1,1
1923-12-23,52,52
1923-12-24,1,1
1924-03-07,1,1
1924-04-24,3,3
1924-06-08,5,5
1924-08-01,1,1
1924-11-06,1,1
1924-12-21,1,1
1924-12-24,8,8
1925-03-22,5,5
1925-04-25,3,3
1925-06-25,4,4
1925-06-26,2,2
1925-07-20,1,1
1925-07-24,1,1
1925-09-03,43,14
1925-10-01,1,1
1925-11-14,1,1
1925-11-14,2,2
1926-02-12,1,1
1926-03-08,1,1
1926-05-31,1,1
1926-07-03,6,6
1926-07-09,2,2
1926-07-24,5,5
1926-08-18,15,3
1926-09-26,5,2
1926-10-02,7,7
1926-10-08,4,4
1926-10-21,12,0
1926-11-11,3,3
1926-12-16,1,1
1927-03-20,1,1
1927-03-24,3,3
1927-04-15,1,1
1927-04-22,2,2
1927-04-22,1,1
1927-05-02,3,1
1927-07-27,5,5
1927-08-22,11,1
1927-09-03,1,1
1927-09-17,12,7
1927-09-17,3,3
1927-09-23,6,6
1927-10-06,2,2
1927-10-30,4,4
1927-11-08,1,1
1927-11-16,6,6
1927-11-29,1,1
1927-12-28,1,1
1927-12-31,5,5
1928-01-08,3,3
1928-01-16,2,2
1928-01-22,1,1
1928-01-22,2,2
1928-01-27,1,1
1928-02-26,2,1
1928-03-11,2,2
1928-04-17,2,1
1928-04-19,9,9
1928-05-07,5,1
1928-05-12,2,2
1928-05-26,5,3
1928-06-14,5,5
1928-06-22,1,1
1928-07-10,6,6
1928-07-13,6,4
1928-07-24,6,1
1928-08-25,7,7
1928-09-02,5,5
1928-09-04,2,1
1928-09-04,7,7
1928-09-06,3,3
1928-10-04,3,3
1928-10-18,1,1
1928-10-31,2,1
1928-11-15,3,1
1928-11-24,3,3
1928-11-25,1,1
1928-11-25,1,1
1928-12-01,5,5
1928-12-03,14,14
1928-12-10,5,5
1928-12-11,4,3
1928-12-20,1,1
1928-12-23,4,4
1928-12-31,3,2
1929-01-05,1,1
1929-01-18,1,1
1929-01-25,9,2
1929-01-31,2,2
1929-01-31,1,1
1929-03-17,15,14
1929-03-30,4,4
1929-04-21,6,6
1929-05-09,5,5
1929-05-18,2,2
1929-05-22,6,4
1929-06-13,5,2
1929-06-14,2,1
1929-06-17,13,7
1929-06-24,8,1
1929-06-29,5,5
1929-06-29,1,1
1929-08-11,4,4
1929-08-24,1,1
1929-08-24,5,4
1929-09-02,2,1
1929-09-03,8,8
1929-09-06,5,3
1929-09-14,6,6
1929-09-14,6,6
1929-09-17,1,1
1929-09-17,5,5
1929-09-17,2,1
1929-10-26,7,7
1929-10-29,1,1
1929-10-31,2,2
1929-11-04,4,4
